,Solar (CAC),Solar (MAC),Solar (NAC),Solar (NEC),Solar (SAC),Wind (CAC),Wind (NAC),Wind (NEC),Wind (SAC),Load,Net Load
12/5/2036 0:00,0,0,0,0,0,1392.03,16.72,1647.36,0.51,34330.68204,31274.06
12/5/2036 0:30,0,0,0,0,0,1414.83,16.83,1646.37,0.34,33229.88397,30151.51
12/5/2036 1:00,0,0,0,0,0,1401.4465,16.074,1626.24,0.2695,32995.085,29951.06
12/5/2036 1:30,0,0,0,0,0,1344.802,15.7455,1535.82,0.294,32652.415,29755.75
12/5/2036 2:00,0,0,0,0,0,1310.2103,14.517,1449.69,0.343,31864.74404,29089.98
12/5/2036 2:30,0,0,0,0,0,1262.047,13.788,1390.95,0.4165,31359.63393,28692.43
12/5/2036 3:00,0,0,0,0,0,1235.076,13.5135,1333.86,0.686,31285.523,28702.39
12/5/2036 3:30,0,0,0,0,0,1130.213,10.629,1305.81,1.0045,30783.83603,28336.18
12/5/2036 4:00,0,0,0,0,0,1078.479,9.6615,1307.13,1.225,31030.148,28633.65
12/5/2036 4:30,0,0,0,0,0,1041.0193,7.614,1303.5,1.2985,31614.17203,29260.74
12/5/2036 5:00,0,0,0,0.2618,0,994.5883,6.4215,1276.44,2.842,33024.19596,30743.64
12/5/2036 5:30,4.7363,0.7566,0.09,31.9429,0.3458,917.2892,4.635,1200.21,5.341,32929.99197,30764.65
12/5/2036 6:00,25.1457,8.2892,6.954,87.6684,8.0859,812.2798,3.7845,1064.25,7.1785,32774.789,30751.15
12/5/2036 6:30,87.5669,56.9694,22.9662,184.3825,54.9621,700.7197,2.3085,845.46,8.771,32703.447,30739.34
12/5/2036 7:00,224.4008,194.9692,71.0566,367.1398,170.6378,588.2068,6.8535,661.65,8.379,33638.104,31344.81
12/5/2036 7:30,444.3869,416.0675,152.1934,691.5996,274.642,548.2462,6.7995,557.04,6.027,36244.64501,33147.64
12/5/2036 8:00,703.9109,660.7418,249.188,1139.0862,360.0827,562.9788,8.361,497.97,6.0025,39621.185,35432.86
12/5/2036 8:30,919.0434,895.4788,343.0552,1543.5321,474.8895,501.5318,9.7605,423.72,7.595,40767.61096,35649
12/5/2036 9:00,1180.5795,1131.1689,418.3112,2030.1585,591.3088,428.7627,9.414,361.35,11.368,41739.038,35576.62
12/5/2036 9:30,1378.0237,1331.6609,473.3738,2350.0466,601.99,370.6165,7.9515,329.34,19.5755,42514.53305,35651.95
12/5/2036 10:00,1553.4326,1493.5216,548.983,2526.7894,640.8967,363.7523,6.6555,252.45,25.6515,43630.028,36217.9
12/5/2036 10:30,1675.6716,1623.3704,552.4628,2731.572,665.1542,303.7681,4.9725,236.94,29.743,43963.38705,36139.73
12/5/2036 11:00,1824.2372,1755.8572,618.0796,3014.3408,688.2193,243.2229,4.59,177.21,28.4935,43637.74495,35283.49
12/5/2036 11:30,1894.0585,1712.0451,707.7992,3138.9933,751.8694,226.5546,2.142,152.46,27.7095,41172.966,32559.33
12/5/2036 12:00,2036.6593,1620.3077,681.7776,3316.5025,784.9911,225.4539,1.8675,150.48,22.1235,40274.18796,31434.02
12/5/2036 12:30,2081.2874,1576.597,709.9082,3390.4548,850.654,265.2492,1.9125,149.16,21.854,42207.88001,33160.8
12/5/2036 13:00,2043.5974,1529.8701,718.4592,3435.5105,833.0498,320.7381,1.2645,139.26,23.863,44748.571,35702.96
12/5/2036 13:30,1943.3988,1484.9744,679.5264,3350.831,810.0662,356.7459,0.909,190.74,23.7405,45268.057,36427.12
12/5/2036 14:00,1700.871,1298.2428,641.362,2897.6862,608.1298,360.7661,1.818,149.49,22.148,45442.54304,37762.03
12/5/2036 14:30,1456.7527,1205.075,430.1728,2602.5307,540.4057,371.7338,1.7775,163.02,22.54,45104.512,38310.5
12/5/2036 15:00,1257.6037,1270.9851,310.09,2208.3988,445.3633,470.2414,1.512,264.66,23.716,44604.48004,38351.91
12/5/2036 15:30,1079.7945,1127.9177,248.9374,1886.9251,406.7877,498.0941,1.3995,246.84,32.193,43889.719,38360.83
12/5/2036 16:00,992.9883,859.1774,137.4038,1548.0388,335.274,541.114,1.4715,298.98,30.723,43187.957,38442.79
12/5/2036 16:30,743.1523,709.1371,112.2624,1066.4311,237.7867,569.3727,2.2185,357.39,40.1555,41104.731,37266.82
12/5/2036 17:00,461.8539,507.6768,86.8384,655.3564,166.5569,585.8532,3.7485,364.65,40.4985,40595.50504,37722.47
12/5/2036 17:30,222.0656,235.4552,68.405,279.5313,99.284,569.3398,5.706,764.28,36.1865,41320.21996,39039.97
12/5/2036 18:00,68.5288,63.8054,26.849,23.0406,54.6915,641.2973,37.9125,882.09,26.0435,43094.936,41270.68
12/5/2036 18:30,17.1546,2.3531,0.02,2.8798,31.7904,894.451,5.3775,852.72,10.9025,45754.31105,43936.66
12/5/2036 19:00,0.1012,0,0,0,0,1159.0105,19.728,841.5,5.2185,46204.68596,44179.13
12/5/2036 19:30,0,0,0,0,0,1241.9264,28.4895,1106.16,3.4055,45827.98295,43448
12/5/2036 20:00,0,0,0,0,0,1312.2298,22.797,1259.94,2.1315,45956.279,43359.18
12/5/2036 20:30,0,0,0,0,0,1138.2029,13.7295,1417.02,1.8865,45350.17305,42779.33
12/5/2036 21:00,0,0,0,0,0,1120.5883,9.666,1468.5,1.9355,44327.067,41726.38
12/5/2036 21:30,0,0,0,0,0,1090.1679,11.6145,1538.79,1.4455,43253.17599,40611.16
12/5/2036 22:00,0,0,0,0,0,1037.7296,29.9745,1710.06,1.4455,43422.286,40643.08
12/5/2036 22:30,0,0,0,0,0,1062.8163,21.591,1513.05,0.294,42052.55,39454.8
12/5/2036 23:00,0,0,0,0,0,1049.9318,16.677,1348.71,0.1225,40973.81504,38558.37
12/5/2036 23:30,0,0,0,0,0,1087.8119,16.6995,1214.07,0.049,39447.749,37129.12
13-05-2036 00:00,0,0,0,0,0,1078.7196,14.607,1228.92,0,38005.75,35683.5
13-05-2036 00:30,0,0,0,0,0,1114.2241,10.0305,1175.79,0.049,37504.133,35204.04
13-05-2036 01:00,0,0,0,0,0,1083.4361,9.1395,1137.51,0.0245,36791.516,34561.41
13-05-2036 01:30,0,0,0,0,0,1032.2886,9.873,1195.59,0.1225,36245.705,34007.83
13-05-2036 02:00,0,0,0,0,0,1000.1096,9.7065,1189.32,0.196,35510.895,33311.56
13-05-2036 02:30,0,0,0,0,0,935.4348,10.1385,1191.63,0.294,34847.50001,32710
13-05-2036 03:00,0,0,0,0,0,879.3532,9.027,1188,0.882,34333.105,32255.84
13-05-2036 03:30,0,0,0,0,0,831.397,7.956,1262.25,0.7105,34092.67794,31990.36
13-05-2036 04:00,0,0,0,0,0,811.0375,5.4225,1192.29,0.1715,34139.25,32130.33
13-05-2036 04:30,0,0,0,0,0,784.4356,4.8825,1161.6,0.196,34116.431,32165.32
13-05-2036 05:00,0,0,0,1.0472,0,756.9807,4.095,1101.54,0.0735,34756.61097,32892.87
13-05-2036 05:30,6.6163,4.6962,2.9812,9.1869,0,734.8574,2.79,1083.39,0.1225,34615.87896,32771.24
13-05-2036 06:00,28.9144,20.398,9.6344,104.164,8.3188,733.3909,2.817,1004.19,0.098,33363.14603,31451.22
13-05-2036 06:30,107.6183,94.824,18.2552,284.6717,40.5265,683.7125,2.799,839.19,0.098,32707.13803,30635.44
13-05-2036 07:00,289.7548,264.1973,71.6724,624.1912,137.5331,542.3291,1.926,758.01,0.098,32772.131,30082.42
13-05-2036 07:30,526.7732,468.1539,150.952,1123.5524,299.7925,503.0131,3.87,782.76,0.1225,33591.012,29732.02
13-05-2036 08:00,737.098,665.8545,210.7448,1645.8086,550.6257,422.4621,4.3605,827.31,0.098,35611.893,30547.53
